id,title
1,Nhân viên Kinh doanh
2,Chuyên viên Marketing
3,Kỹ sư Phần mềm
4,Quản lý Dự án
5,Nhân viên Hành chính Nhân sự
6,Chuyên viên Tài chính
7,Thiết kế Đồ họa
8,Chuyên viên Chăm sóc Khách hàng
9,Nhân viên Kế toán
10,Lập trình viên Backend
11,Lập trình viên Frontend
12,Quản trị Mạng
13,Chuyên viên SEO
14,Nhân viên Bán hàng
15,Nhân viên Giao nhận
16,Kỹ thuật Viên Bảo trì
17,Nhân viên Marketing Online
18,Giám đốc Kinh doanh
19,Chuyên viên Tuyển dụng
20,Nhân viên Thu mua
21,Kỹ sư Cơ khí
22,Nhân viên Phục vụ Nhà hàng
23,Chuyên viên Nội dung
24,Nhân viên Quản lý Kho
25,Giáo viên Tiếng Anh
26,Nhân viên Phát triển Sản phẩm
27,Chuyên viên Phân tích Dữ liệu
28,Nhân viên Kiểm soát Chất lượng
29,Nhân viên Hỗ trợ Kỹ thuật
30,Nhân viên Vận hành Máy móc
31,Chuyên viên Truyền thông
32,Nhân viên Quản lý Dự án IT
33,Nhân viên Lễ tân
34,Nhân viên Dịch vụ Khách hàng
35,Giám sát Sản xuất
36,Nhân viên Thư ký
37,Chuyên viên Phát triển Kinh doanh
38,Nhân viên Bảo vệ
39,Nhân viên Quản lý Bán hàng
40,Nhân viên Kỹ thuật Phần cứng
41,Nhân viên Sửa chữa Điện tử
42,Chuyên viên Đào tạo
43,Nhân viên Pháp lý
44,Nhân viên Quản lý Văn phòng
45,Nhân viên Marketing Sự kiện
46,Nhân viên Thiết kế Website
47,Nhân viên Kinh doanh Bất động sản
48,Nhân viên Phân tích Tài chính
49,Nhân viên Quản lý Dữ liệu
50,Nhân viên Kiểm toán
51,Chuyên viên Hỗ trợ Khách hàng
52,Nhân viên Phân tích Marketing
53,Nhân viên Kinh doanh Xuất nhập khẩu
54,Giám đốc Sản xuất
55,Nhân viên Logistics
56,Nhân viên Tư vấn Bảo hiểm
57,Nhân viên Quản lý Dự án Xây dựng
58,Nhân viên Quản trị Website
59,Chuyên viên Phát triển Ứng dụng Di động
60,Nhân viên Kế hoạch Sản xuất
61,Chuyên viên Phân tích Hệ thống
62,Nhân viên Dịch vụ Tài chính
63,Nhân viên Kỹ thuật Mạng
64,Nhân viên Phân phối Sản phẩm
65,Nhân viên Quản lý Sự kiện
66,Chuyên viên Trợ lý Giám đốc
67,Nhân viên Quản lý Tài sản
68,Nhân viên Thiết kế Nội thất
69,Nhân viên Biên tập Nội dung
70,Nhân viên Quản lý Chất lượng
71,Nhân viên Hỗ trợ Kỹ thuật Phần mềm
72,Chuyên viên Phân tích Thị trường
73,Nhân viên Kinh doanh Online
74,Nhân viên Hành chính Văn phòng
75,Nhân viên Quản lý Khách hàng Doanh nghiệp
76,Nhân viên Quản lý Thương hiệu
77,Nhân viên Dịch vụ Hậu cần
78,Nhân viên Sửa chữa Ô tô
79,Nhân viên Hỗ trợ Kỹ thuật Phần cứng
80,Chuyên viên Kiểm thử Phần mềm
81,Nhân viên Thiết kế Quảng cáo
82,Nhân viên Phát triển Nội dung Số
83,Chuyên viên Hành chính Lễ tân
84,Nhân viên Bảo trì Hệ thống
85,Nhân viên Quản lý Nhà hàng
86,Nhân viên Kỹ thuật Điện
87,Chuyên viên Tư vấn Tuyển dụng
88,Nhân viên Kinh doanh Dịch vụ
89,Nhân viên Quản lý Dự án Marketing
90,Nhân viên Hỗ trợ Vận hành
91,Nhân viên Phân tích Rủi ro
92,Nhân viên Tư vấn Tài chính Cá nhân
93,Nhân viên Quản lý Sản phẩm
94,Chuyên viên Thiết kế UX/UI
95,Nhân viên Dịch vụ Khách hàng Online
96,Nhân viên Hỗ trợ Kỹ thuật Máy tính
97,Nhân viên Đào tạo Nhân sự
98,Chuyên viên Phân tích Nghiệp vụ
99,Nhân viên Giám sát Bảo trì
100,Nhân viên Hành chính Nhân sự Thực tập
101,Nhân viên Kinh doanh Trực tuyến
102,Chuyên viên Phân tích Dữ liệu Lớn
103,Nhân viên Phát triển Phần mềm
104,Nhân viên Quản lý Mạng Xã hội
105,Nhân viên Hỗ trợ Khách hàng Quốc tế
106,Chuyên viên Tư vấn Pháp lý
107,Nhân viên Quản lý Tài chính Doanh nghiệp
108,Nhân viên Kỹ thuật Hệ thống
109,Nhân viên Quản lý Chuỗi Cung ứng
110,Nhân viên Trợ lý Kinh doanh
111,Nhân viên Hành chính Văn phòng
112,Chuyên viên Dịch vụ Khách hàng
113,Nhân viên Phát triển Thị trường
114,Nhân viên Tư vấn Tuyển sinh
115,Nhân viên Kiểm tra Chất lượng Sản phẩm
116,Nhân viên Thiết kế Truyền thông
117,Nhân viên Kinh doanh Bán lẻ
118,Chuyên viên Quản lý Rủi ro
119,Nhân viên Lập kế hoạch Sản xuất
120,Nhân viên Hỗ trợ Phần mềm
121,Nhân viên Phát triển Kỹ năng Nhân sự
122,Nhân viên Kế hoạch Kinh doanh
123,Nhân viên Marketing Nội dung
124,Nhân viên Chăm sóc Khách hàng VIP
125,Nhân viên Vận hành Máy móc Công nghiệp
126,Chuyên viên Tư vấn Quản lý
127,Nhân viên Quản lý Dự án Xây dựng
128,Nhân viên Phân tích Tài chính Doanh nghiệp
129,Nhân viên Bảo trì Hệ thống Điện
130,Nhân viên Quản lý Dữ liệu Khách hàng
